timestamp,metric,value
2026-01-01T00:00:00,cpu_usage,74.33
2026-01-01T00:00:00,request_latency_ms,263.22
2026-01-01T01:00:00,cpu_usage,58.29
2026-01-01T01:00:00,request_latency_ms,187.38
2026-01-01T02:00:00,cpu_usage,60.41
2026-01-01T02:00:00,request_latency_ms,180.91
2026-01-01T03:00:00,cpu_usage,57.96
2026-01-01T03:00:00,request_latency_ms,189.22
2026-01-01T04:00:00,cpu_usage,59.04
2026-01-01T04:00:00,request_latency_ms,190.62
2026-01-01T05:00:00,cpu_usage,58.75
2026-01-01T05:00:00,request_latency_ms,199.89
2026-01-01T06:00:00,cpu_usage,55.35
2026-01-01T06:00:00,request_latency_ms,196.24
2026-01-01T07:00:00,cpu_usage,55.99
2026-01-01T07:00:00,request_latency_ms,182.80
2026-01-01T08:00:00,cpu_usage,58.13
2026-01-01T08:00:00,request_latency_ms,199.29
2026-01-01T09:00:00,cpu_usage,57.33
2026-01-01T09:00:00,request_latency_ms,186.56
2026-01-01T10:00:00,cpu_usage,60.34
2026-01-01T10:00:00,request_latency_ms,184.57
2026-01-01T11:00:00,cpu_usage,55.94
2026-01-01T11:00:00,request_latency_ms,193.27
2026-01-01T12:00:00,cpu_usage,56.25
2026-01-01T12:00:00,request_latency_ms,197.43
2026-01-01T13:00:00,cpu_usage,55.78
2026-01-01T13:00:00,request_latency_ms,188.75
2026-01-01T14:00:00,cpu_usage,56.54
2026-01-01T14:00:00,request_latency_ms,183.61
2026-01-01T15:00:00,cpu_usage,58.61
2026-01-01T15:00:00,request_latency_ms,191.30
2026-01-01T16:00:00,cpu_usage,55.71
2026-01-01T16:00:00,request_latency_ms,184.75
2026-01-01T17:00:00,cpu_usage,59.94
2026-01-01T17:00:00,request_latency_ms,184.52
2026-01-01T18:00:00,cpu_usage,61.85
2026-01-01T18:00:00,request_latency_ms,186.93
2026-01-01T19:00:00,cpu_usage,57.55
2026-01-01T19:00:00,request_latency_ms,190.59
2026-01-01T20:00:00,cpu_usage,62.10
2026-01-01T20:00:00,request_latency_ms,194.77
2026-01-01T21:00:00,cpu_usage,61.04
2026-01-01T21:00:00,request_latency_ms,197.58
2026-01-01T22:00:00,cpu_usage,62.75
2026-01-01T22:00:00,request_latency_ms,188.60
2026-01-01T23:00:00,cpu_usage,55.95
2026-01-01T23:00:00,request_latency_ms,186.39
2026-01-02T00:00:00,cpu_usage,62.08
2026-01-02T00:00:00,request_latency_ms,191.99
2026-01-02T01:00:00,cpu_usage,58.94
2026-01-02T01:00:00,request_latency_ms,196.46
2026-01-02T02:00:00,cpu_usage,56.05
2026-01-02T02:00:00,request_latency_ms,189.85
2026-01-02T03:00:00,cpu_usage,62.43
2026-01-02T03:00:00,request_latency_ms,190.40
2026-01-02T04:00:00,cpu_usage,55.56
2026-01-02T04:00:00,request_latency_ms,195.03
2026-01-02T05:00:00,cpu_usage,61.71
2026-01-02T05:00:00,request_latency_ms,188.01
2026-01-02T06:00:00,cpu_usage,62.38
2026-01-02T06:00:00,request_latency_ms,191.27
2026-01-02T07:00:00,cpu_usage,58.91
2026-01-02T07:00:00,request_latency_ms,190.45
2026-01-02T08:00:00,cpu_usage,56.99
2026-01-02T08:00:00,request_latency_ms,199.97
2026-01-02T09:00:00,cpu_usage,60.97
2026-01-02T09:00:00,request_latency_ms,192.34
2026-01-02T10:00:00,cpu_usage,55.17
2026-01-02T10:00:00,request_latency_ms,196.92
2026-01-02T11:00:00,cpu_usage,61.00
2026-01-02T11:00:00,request_latency_ms,196.26
2026-01-02T12:00:00,cpu_usage,57.10
2026-01-02T12:00:00,request_latency_ms,190.14
2026-01-02T13:00:00,cpu_usage,59.24
2026-01-02T13:00:00,request_latency_ms,189.22
2026-01-02T14:00:00,cpu_usage,56.19
2026-01-02T14:00:00,request_latency_ms,191.36
2026-01-02T15:00:00,cpu_usage,58.89
2026-01-02T15:00:00,request_latency_ms,192.06
2026-01-02T16:00:00,cpu_usage,57.76
2026-01-02T16:00:00,request_latency_ms,191.31
2026-01-02T17:00:00,cpu_usage,61.96
2026-01-02T17:00:00,request_latency_ms,186.28
2026-01-02T18:00:00,cpu_usage,56.49
2026-01-02T18:00:00,request_latency_ms,185.63
2026-01-02T19:00:00,cpu_usage,56.92
2026-01-02T19:00:00,request_latency_ms,197.47
2026-01-02T20:00:00,cpu_usage,57.33
2026-01-02T20:00:00,request_latency_ms,191.27
2026-01-02T21:00:00,cpu_usage,61.21
2026-01-02T21:00:00,request_latency_ms,197.75
2026-01-02T22:00:00,cpu_usage,61.47
2026-01-02T22:00:00,request_latency_ms,195.13
2026-01-02T23:00:00,cpu_usage,62.00
2026-01-02T23:00:00,request_latency_ms,185.58
2026-01-03T00:00:00,cpu_usage,60.55
2026-01-03T00:00:00,request_latency_ms,193.06
2026-01-03T01:00:00,cpu_usage,57.07
2026-01-03T01:00:00,request_latency_ms,199.73
2026-01-03T02:00:00,cpu_usage,58.22
2026-01-03T02:00:00,request_latency_ms,199.04
2026-01-03T03:00:00,cpu_usage,61.27
2026-01-03T03:00:00,request_latency_ms,191.72
2026-01-03T04:00:00,cpu_usage,58.43
2026-01-03T04:00:00,request_latency_ms,184.36
2026-01-03T05:00:00,cpu_usage,55.04
